,accuracy,per_class_accuracy,per_class_precision
0,0.9881666666666666,0.9949349991558332,0.9932580482049553
1,0.9881666666666666,0.9918421833283892,0.991401037805782
2,0.9881666666666666,0.9885867740852635,0.9884208759859037
3,0.9881666666666666,0.9843418691893655,0.9869174161896974
4,0.9881666666666666,0.9892160219103047,0.9890467225740202
5,0.9881666666666666,0.9839513004980631,0.9855875831485588
6,0.9881666666666666,0.9932409597837107,0.9910639015343112
7,0.9881666666666666,0.9872306464485235,0.9889670610809083
8,0.9881666666666666,0.9854725687916596,0.9832878581173261
9,0.9881666666666666,0.9821818793074466,0.9830080753701211
